Date,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
2015-05-01,0.2999996435441692,0.2999980992479315,1.6276158033157922e-07,1.3640581863314168e-07,3.847702575899852e-07,0.2999993149082235,2.2323663795797037e-07,1.8589230503806466e-07,4.167798935350008e-08,1.684779616279617e-08,0.10000179070729062
2015-06-01,0.2999998774276994,0.29999939392780217,1.7007582884596945e-07,3.736919972872664e-08,6.194101262736437e-07,0.10000233356536452,1.230203485933162e-07,1.1860518205861598e-07,3.4758167551720564e-08,9.0008414702032e-09,0.2999972828394393
2015-07-01,0.2999999654960754,0.29999998158727115,8.872548387751306e-08,4.3236099635310305e-08,3.6825127173218295e-08,0.09999975577392407,6.513240955254247e-08,6.689112685544666e-08,3.746751168230732e-08,8.117271901874992e-09,0.2999999507476988
2015-08-03,0.2999996867236424,0.29999824953227516,0.09999725610923803,1.294231840552904e-07,2.703433088340867e-06,0.29999454674177634,6.166978219471556e-07,4.745829765512453e-07,2.0178993395174917e-07,3.601504252160009e-08,6.09895102062004e-06
2015-09-01,0.10000451105457371,0.2999963531380249,5.768841652316047e-07,7.053296569557334e-08,0.29999743869235274,0.29999779152588046,8.458111144415824e-07,1.2456085279904622e-06,6.1492235812285e-07,5.646227018738143e-08,4.953677665113288e-07
2015-10-01,0.29999943626740455,2.6608649839521963e-08,9.426539061608563e-08,8.125026819897198e-09,0.2999999273903437,0.29999963607405206,0.10000069503696701,5.562776361406447e-08,3.314552485074622e-08,6.180173555859627e-09,8.127870327834632e-08
2015-11-02,0.29999995289317327,0.2999997759517803,0.29999966745075735,1.185117830192355e-07,1.8132575485865631e-06,1.1327078814259376e-07,4.437547256201731e-07,0.09999762902273582,8.328883044288651e-08,7.686430001720453e-08,3.2573357760097157e-07
2015-12-01,0.29999998679636286,0.29999947338378397,5.8235324525901e-08,9.668160769675178e-09,0.2999998521312658,7.215252560455111e-08,8.245577929394594e-08,3.583796070822173e-08,1.2775863969201292e-08,6.008002460355842e-09,0.10000041055497015
2016-01-04,0.2999999817523922,5.4387136614021674e-08,7.399734270618923e-08,1.3205382263994746e-08,0.2999999098551887,1.4154786120832097e-07,0.09999983345106317,6.567877362296088e-08,2.702037593818451e-08,1.0694428709961e-08,0.2999998884100549
2016-02-01,0.09999964414634502,1.0423646069304091e-08,9.645093277587779e-09,2.0227604784429266e-09,0.2999999260406825,0.29999993994425106,4.507698725963909e-07,2.2676780259465522e-08,4.540961292578682e-08,2.317505423405568e-09,0.29999994660345036
2016-03-01,4.8855583149002916e-08,1.092093211316377e-08,9.011182133492424e-09,4.232661881873223e-09,0.2999999371791241,0.29999996687064584,5.756865985446621e-07,2.9201568190931183e-08,0.29999994613166264,3.2800451049322565e-09,0.09999946862999617
2016-04-01,1.0248636896958808e-06,5.3802413058656056e-08,5.792936313206477e-08,4.765062575339425e-08,0.29999928141091403,0.2999998752815941,2.234205480444723e-06,9.273697415807366e-08,0.09999737659526609,2.008168625132159e-08,0.2999999354419934
2016-05-02,7.455447973278251e-08,4.664987131275806e-08,3.8752780194877954e-08,6.644370736682708e-08,8.897417672011939e-07,0.2999994270443842,0.09999977462398077,1.4976183362752268e-07,0.29999997152812724,4.7287706827902925e-08,0.2999995136113614
2016-06-01,0.2999870647204662,1.2105755393383871e-06,6.629059182519903e-07,9.758037528351674e-07,2.3215439782419742e-06,0.2999964352774337,3.5820703259298514e-06,1.0025411365661959e-06,0.10000666137957753,3.715365512630985e-07,0.29999971164532013
2016-07-01,2.1232601449109974e-07,2.058935349076023e-07,7.620942283946807e-08,0.09999934914270418,1.4985694453528438e-07,0.29999980181627206,9.798895315499118e-08,1.6100011509959246e-07,0.29999992080801635,8.333406895149095e-08,0.2999999416239534
2016-08-01,3.50560006855504e-08,6.734599357120817e-08,1.937579205172339e-08,2.9356364572119423e-08,6.549512917111127e-08,0.29999997503976744,0.09999979979399175,3.9833819799299176e-08,0.299999974652972,1.3245206686797238e-08,0.2999999808049622
2016-09-01,1.471158355642243e-07,2.2384422281746267e-07,8.929276056978017e-08,0.09999849931494613,2.4417411394317954e-07,0.2999998599259221,8.095670364210088e-07,6.899684096816149e-07,0.29999990915947206,1.1652969156459996e-07,0.29999941110758926
2016-10-03,8.933823650227152e-07,2.987743451460703e-06,5.314402761551272e-07,0.2999990289459282,7.692824298762509e-07,0.299997848462985,1.4891339512453277e-06,3.1544370197013127e-06,0.29999950182574353,0.09999061417204025,3.1811738094548854e-06
2016-11-01,1.5313003966150948e-06,0.1830696414213918,9.132356504327507e-08,0.2999997579497239,9.059803266746167e-08,1.908443006076536e-07,4.1575796792362034e-07,3.469572379777518e-06,0.2999992093315032,0.216925329482625,2.7241811350259323e-07
2016-12-01,0.29999883083235956,0.2999999618771431,1.0361967281217664e-07,0.10000071026158519,4.6843842119303626e-08,4.0007044091663334e-08,1.1492624669298486e-07,5.198354028467586e-07,3.9114144038980696e-08,0.29999944103690446,1.9164565507999793e-07
2017-01-03,0.09999868268300975,0.2999999164911885,4.040077771853595e-07,2.601169894950437e-07,1.7214585759360646e-07,1.1916383576955832e-07,4.726887259093645e-07,0.29999963357277526,1.1557879471691018e-07,0.2999998667191951,3.5683185067673336e-07
